count,time
403,1587903302
403,1587904193
402,1587905084
402,1587905975
401,1587906866
400,1587907757
400,1587908648
399,1587909539
398,1587910430
399,1587911321
399,1587912212
406,1587913103
412,1587913994
416,1587914885
418,1587915776
426,1587916667
434,1587917558
440,1587918449
441,1587919340
439,1587920231
440,1587921122
440,1587922013
440,1587922904
441,1587923796
440,1587924130
441,1587925021
438,1587925913
439,1587926805
439,1587927697
439,1587928588
435,1587929480
438,1587930372
433,1587931264
431,1587932155
431,1587933047
430,1587933939
429,1587934831
426,1587935722
424,1587936614
425,1587937506
425,1587938398
425,1587939291
424,1587940183
421,1587941075
421,1587941966
416,1587942858
414,1587943750
412,1587944777
412,1587945668
412,1587946559
410,1587947450
410,1587948341
410,1587949232
409,1587950123
407,1587951014
403,1587951906
404,1587952797
404,1587953688
401,1587954579
401,1587955470
399,1587956361
401,1587957252
399,1587958143
399,1587959034
398,1587959926
391,1587978872
390,1587979764
390,1587980655
390,1587981546
390,1587982437
390,1587983329
390,1587984220
390,1587985111
390,1587986002
390,1587986893
390,1587987785
390,1587988676
389,1587989567
389,1587990458
391,1587991350
390,1587992241
389,1587993132
389,1587994023
388,1587994914
388,1587995805
388,1587996696
387,1587997587
385,1587998478
385,1587999369
385,1588000264
384,1588001155
384,1588002046
384,1588002938
383,1588003829
393,1588004720
405,1588005611
409,1588005867
418,1588006759
426,1588007650
431,1588008541
430,1588009432
431,1588010395
432,1588011285
430,1588012175
429,1588013064
428,1588013954
428,1588014844
428,1588015734
423,1588016624
422,1588017514
425,1588018403
421,1588019293
426,1588020183
424,1588021073
422,1588021962
424,1588022852
423,1588023742
426,1588024632
429,1588025522
429,1588026411
426,1588027301
424,1588028191
426,1588029081
425,1588029384
422,1588030274
421,1588031163
421,1588032053
417,1588032943
418,1588033833
418,1588034723
417,1588035612
418,1588036505
412,1588037394
411,1588038284
413,1588039202
409,1588040091
410,1588040981
404,1588041870
407,1588042760
405,1588043649
403,1588044538
403,1588045428
399,1588046317
400,1588047207
399,1588048096
400,1588048986
397,1588049875
400,1588050765
401,1588051654
400,1588052543
399,1588053433
398,1588054322
397,1588055212
397,1588056101
398,1588056991
397,1588057880
397,1588058770
397,1588059659
397,1588060548
397,1588061438
397,1588062327
397,1588063217
397,1588064106
397,1588064999
396,1588065888
396,1588066778
396,1588067667
397,1588068557
397,1588069446
397,1588070335
397,1588071225
397,1588072114
397,1588073004
397,1588073893
397,1588074782
397,1588075672
396,1588076561
397,1588077451
396,1588078340
395,1588079230
394,1588080119
392,1588081008
392,1588081898
390,1588082787
390,1588083677
390,1588084566
390,1588085456
388,1588086345
387,1588087235
387,1588088124
392,1588089013
395,1588089903
396,1588090792
400,1588091682
399,1588092571
408,1588093460
417,1588094350
421,1588095239
433,1588096129
440,1588097018
439,1588097908
437,1588098797
437,1588099686
436,1588100576
436,1588101465
438,1588102355
437,1588103244
438,1588104133
435,1588105023
433,1588105912
430,1588106802
435,1588107691
434,1588108580
437,1588109470
436,1588110359
434,1588111249
431,1588112138
434,1588113028
435,1588113917
435,1588114806
434,1588115696
432,1588116585
430,1588117475
428,1588118364
428,1588119254
430,1588120143
433,1588121033
433,1588121922
432,1588122812
432,1588123702
430,1588124592
432,1588125481
428,1588126370
426,1588127260
426,1588128149
426,1588129039
429,1588129928
426,1588130818
427,1588131707
427,1588132597
427,1588133486
428,1588134376
425,1588135265
424,1588136155
425,1588137044
426,1588137934
424,1588138823
423,1588139713
425,1588140602
425,1588141491
423,1588142381
422,1588143270
423,1588144159
424,1588145049
424,1588145938
424,1588146828
424,1588147717
424,1588148607
422,1588149496
422,1588150385
422,1588151275
422,1588152164
422,1588153054
422,1588153943
422,1588154833
422,1588155722
422,1588156611
422,1588157501
421,1588158390
421,1588159280
421,1588160169
421,1588161059
416,1588161948
419,1588162837
418,1588163727
418,1588164616
416,1588165506
415,1588166395
415,1588167285
414,1588168174
414,1588169063
414,1588169953
414,1588170842
414,1588171732
419,1588172621
427,1588173510
425,1588174400
423,1588175289
423,1588176179
423,1588177068
422,1588177958
425,1588178847
425,1588179736
423,1588180626
428,1588181515
429,1588182405
428,1588183294
429,1588184184
430,1588185073
431,1588185962
431,1588186852
430,1588187741
429,1588188631
429,1588189520
426,1588190409
426,1588191299
428,1588192188
440,1588193078
448,1588193967
457,1588194857
466,1588195746
470,1588196636
469,1588197525
467,1588198414
466,1588199304
467,1588200193
465,1588201083
464,1588201972
464,1588202862
460,1588203751
463,1588204641
464,1588205531
463,1588206421
457,1588207310
458,1588208200
455,1588209089
455,1588209979
457,1588210868
457,1588211758
453,1588212647
453,1588213537
453,1588214427
450,1588215316
449,1588216205
451,1588217095
446,1588217984
446,1588218874
448,1588219763
448,1588220653
449,1588221542
451,1588222432
448,1588223322
446,1588224211
442,1588225101
445,1588225990
446,1588226880
448,1588227770
444,1588228659
445,1588229548
445,1588230438
444,1588231328
446,1588232217
446,1588233107
446,1588233996
446,1588234885
446,1588235775
446,1588236664
444,1588237554
445,1588238443
445,1588239333
444,1588240223
443,1588241112
443,1588242001
443,1588242891
442,1588243780
443,1588244670
443,1588245559
441,1588246448
442,1588247338
436,1588248227
440,1588249117
438,1588250006
438,1588250896
438,1588251785
439,1588252675
439,1588253564
439,1588254453
438,1588255343
438,1588256232
437,1588257122
437,1588258011
436,1588258901
442,1588259790
451,1588260679
454,1588261569
458,1588262458
466,1588263348
469,1588264237
478,1588265127
481,1588266016
479,1588266906
482,1588267795
481,1588268685
483,1588269574
482,1588270464
483,1588271353
482,1588272243
479,1588273132
475,1588274022
479,1588274911
476,1588275801
478,1588276690
477,1588277580
475,1588278469
479,1588279359
482,1588280248
488,1588281137
487,1588282027
487,1588282916
482,1588283806
483,1588284696
500,1588522508
501,1588523398
501,1588524287
500,1588525177
503,1588526066
514,1588526955
517,1588527844
518,1588528734
530,1588529623
532,1588530513
532,1588531402
531,1588532292
533,1588533181
530,1588534071
534,1588534960
539,1588535849
544,1588536739
543,1588537628
539,1588538518
540,1588539407
539,1588540297
536,1588541186
539,1588542076
538,1588542965
537,1588543855
533,1588544744
531,1588545634
535,1588546523
533,1588547413
536,1588548302
